correct,incorrect
চেয়ারম্যান,চেয়ারমেন
চেরি,চেরী
চৈতন্য,চৈতণ্য
চৈতালি,চৈতালী
চৈতি,চৈতী
চৈত্রসংক্রান্তি,চৈত্র্যসংক্রান্তি
চৈনিক,চৈনীক
চোঙা,চোঙ্গা
চোরাকারবারি,চোরাকারবারী
চোরাগোপ্তা,চোরা-গোপ্তা
চোরাচালানকারী,চোরাচালানকারি
চোরাচালানি,চোরাচালানী
চোরাবালি,চোরা-বালি
চোষকাগজ,চোসকাগজ
চোস্ত,চোশ্ত
চৌকশ,চৌকস
চৌকাঠ,চৌ-কাঠ
চৌকিদারি,চৌকিদারী
চৌচির,চৌচিড়
চৌঠা,চৌটা
চৌপদী,চৌপদী
চৌবাচ্চা,চৌবাচ্ছা
চৌরঙ্গি,চৌরঙ্গী
চৌষট্টি,চৌষট্টী
চৌর্যবৃত্তি,চৌর্য্যবৃত্তি
চ্যাঁচামেচি,চ্যাচামেচি
চ্যান্সেলর,চ্যানসেলর
চ্যাপটা,চ্যাপ্টা
চ্যাম্পিয়ান,চ্যাম্পিয়্যান
চ্যারিটি,চেরিটি
চ্যালা,চেলা
চ্যালাচামুণ্ডা,চ্যালাচামুন্ডা
চ্যুতি,চ্যূতি
ছকবাঁধা,ছক-বাঁধা
ছড়,ছর
ছত্রছায়া,ছত্র-ছায়া
ছত্রভঙ্গ,ছত্রভংগ
ছত্রীসেনা,ছত্রিসেনা
ছদ্মনাম,ছদ্ম-নাম
ছদ্মবেশী,ছদ্মবেশি
ছন্দপতন,ছন্দোপতন
ছন্দমাধুরী,ছন্দমাধুরি
ছন্নছাড়া,ছন্নছারা
ছলচাতুরী,ছলচাতুরি
ছলাৎ,ছলাত
ছাইদানি,ছাইদানী
ছাইপাঁশ,ছাইপাশ
ছাউনি,ছাউনী
ছাঁকনি,ছাকনি
ছাঁকা,ছাকা
ছাঁচিপান,ছাচিপান
ছাঁটাই,ছাটাই
ছাড়,ছার
ছাড়পত্র,ছার পত্র
ছাতিম,ছাতীম
ছাত্রনিবাস,ছাত্র-নিবাস
ছাত্রবৃত্তি,ছাত্র-বৃত্তি
ছাত্রসমাজ,ছাত্র-সমাজ
ছাপরা,ছাপড়া
ছাপাখানা,ছাপা খানা
ছাপানাে (ক্রিবি.),ছাপান
ছা-পোষা,ছাপোষা
ছায়াছবি,ছায়া-ছবি
ছায়ানট,ছায়াণট
ছায়াপথ,ছায়া-পথ
ছারপােকা,ছাড়পােকা
ছিঁচকে,ছিচকে
ছিটকিনি,ছিটকানি
ছিটগ্রস্ত,ছিটগ্রস্থ
ছিটমহল,সিটমহল
ছিটেফোঁটা,ছিটেফোটা
ছিদ্রান্বেষণ,ছিদ্রান্বেষন
ছিদ্রান্বেষী,ছিদ্রান্বেষি
ছিনতাইকারী,ছিনতাইকারি
ছিপ,ছীপ
ছিয়ানব্বই,ছেয়ানব্বই
ছিয়াশি,ছিয়াশী
ছিলিম,ছিলীম
ছুঁচো,ছুচো
ছুটাছুটি,ছুটোছুটী
ছুটি,ছুটী
ছেঁড়া,ছেড়া
ছেনি,ছেনী
ছেলেমানুষি,ছেলেমানুষী
ছেলেমি,ছেলেমী
ছোঁয়াচে,ছোয়াচে
ছোঁড়া (কিশোর),ছােড়া
ছােকরা,ছােকড়া
ছোটোখাটো,ছোটখাট
ছােড়া (নিক্ষেপ করা),ছােঁড়া
ছােরা (বড়াে ছুরি),ছােড়া
ছ্যাঁকা,ছ্যাকা
ছ্যাঁচড়া,ছ্যাচড়া
ছ্যাঁচড়ামি,ছ্যাঁচড়ামী
ছ্যাবলামি,ছ্যাবলামী
,জ
জওয়ান (সৈন্য),জোয়ান
জং,জঙ
জংলি,জংলী
জংশন,জংশণ
জখম,জখম্‌
জগদ্‌বিখ্যাত,জগদ্বিখ্যাত
জগাখিচুড়ি,জগাখিচুড়ী
জঘন্য,জঘণ্য
জঙ্গল,জংগল
জঙ্গি,জঙ্গী
জঙ্গিবাদ,জঙ্গীবাদ
জজ,জাজ
জজিয়তি,জজিয়তী
জঞ্জাল,জন্জাল
জটলা,জটোলা
জটিল,জটীল
জড়িত,জড়ীত
জড়ােয়া,জরোয়া
জনক,জণক
জনকল্যাণ,জনকল্যান
জনকল্যাণমুখী,জনকল্যাণমুখি
জনগণ,জনগন
জনগণনা,জনগননা
জনগােষ্ঠী,জনগােষ্ঠি
জননকোষ,জনন কোষ
জননী,জননি
জননেতা,জন-নেতা
জননেন্দ্রিয়,জননেন্দ্রীয়
জনপদ,জণপদ
জনপ্রতিনিধি,জন-প্রতিনিধি
জনপ্রাণিহীন,জনপ্রাণীহীন
জনপ্রাণী,জনপ্রাণি
জনপ্রিয়,জন-প্রিয়
জনবসতি,জনবসতী
জনবহুল,জন বহুল
জনবিরল,জন বিরল
জনমানবশূন্য,জনমানবশূণ্য
জনমানবহীন,জনমানব হীন
জনশক্তি,জন শক্তি
জনশ্রুতি,জনশ্রুতী
জনসংখ্যা,জন সংখ্যা
জনসংযোগ,জন সংযোগ
জনসভা,জন-সভা
জনসমাগম,জন সমাগম
জনসমাবেশ,জন সমাবেশ
জনসমুদ্র,জনসমূদ্র
জনসাধারণ,জন-সাধারণ
জনসেবামূলক,জনসেবা মুলক
জনস্বার্থ,জন-স্বার্থ
জনস্বাস্থ্য,জন স্বাস্থ্য
জনহিতকর,জন-হিতকর
জনাকতক,জনা কতক
জন্ডিস,জণ্ডিস
জন্তু,জন্তূ
জন্মগ্রহণ,জন্ম গ্রহণ
জন্মজয়ন্তী,জন্ম জয়ন্তি
জন্মদাতা,জন্ম-দাতা
জন্মদিন,জন্ম দিন
জন্মবার্ষিকী,জন্ম বার্ষিকি
জন্মভূমি,জন্মভুমি
জন্মাষ্টমী,জন্মাষ্টমি
জন্মোৎসব,জন্মৎসব
জন্য,জন্যে
জবরদখল,জবর দখল
জবরদস্তি,জবরদস্তী
জবরদস্তিমূলক,জবরদস্তি মূলক
জবানবন্দি,জবানবন্দী
জবানি,জবানী
জবাব,জওয়াব
জবাবদিহি,জবাবদিহী
জব্দ,জব্ধ
জমাখারিজ,জমাখারীজ
জমকালো,জমকাল
জমজম,যমযম
জমাখরচ,জমা খরচ
জমাদার,জমা-দার
জমানো (ক্রিবি.),জমান
জমায়েত,জমায়েৎ
জমিজমা,জমি-জমা
জমিদারি,জমিদারী
জয়ধ্বনি,জয়ধ্বনী
জয়ন্তী,জয়ন্তি
জয়ী,জয়ি
জরাগ্রস্ত,জরাগ্রস্থ
জরাজীর্ণ,জরাজীর্ন
জরায়ু,জরায়ূ
জরি,জরী
জরিপ,জরীপ
জরিপ-আমিন,জরীপ আমিন
জরিমানা,জরিমাণা
জরুরি,জরুরী
জর্জর,জরজর
জর্জরিত,জরজরিত
জর্জেট,জরজেট
জর্দা,জরদা
জলজ্যান্ত,জ্বলজ্যান্ত
জলঢাকা,জল ঢাকা
জলঢোঁড়া,জল ঢোঁড়া
জলতরঙ্গ,জলতরংগ
জলদস্যু,জল-দস্যু
জলদি,জলদী
জলপাই,জল-পাই
জলবায়ু,জলবায়ূ
জলবিদ্যুৎ,জল বিদ্যুৎ
জলমগ্ন,জল মগ্ন
জলযান,জল-যান
জলহস্তী,জলহস্তি
জলাঞ্জলি,জলাঞ্জলী
জলাতঙ্ক,জলাতংক
জলাভূমি,জলাভূমী
জলাশয়,জলাসয়
জলীয়,জলিয়
জলােচ্ছ্বাস,জলোচ্ছাস
জহরত,জহরৎ
জহুরি,জহুরী
জাঁকজমক,জাকজমক
জাঁতাকল,জাতাকল
জাঁদরেল,জাদরেল
জাকাত,যাকাত
জাগরণ,জাগরন
জাগরণী,জাগরণি
জাগরূক,জাগরুক
জাজিম,জাজীম
জাজ্বল্যমান,জাজ্জ্বল্যমান
জাতিগত,জাতীগত
জাতিগতভাবে,জাতিগত ভাবে
জাতিতত্ত্ব,জাতীতত্ব
জাতিধর্মনির্বিশেষে,জাতিধর্ম নির্বিশেষে
জাতিবর্ণনির্বিশেষে,জাতিবর্ণ নির্বিশেষে
জাতিবিদ্বেষ,জাতি বিদ্বেষ
জাতিভেদ,জাতি ভেদ
জাতিসংঘ,জাতিসঙ্ঘ
জাতিসত্তা,জাতিসত্ত্বা
জাতীয়,জাতিয়
জাতীয়করণ,জাতীয়করন
জাতীয়তা,জাতিয়তা
জাতীয়তাবাদ,জাতিয়তাবাদ
জাত্যভিমান,জাত্যাভিমান
জাদু,যাদু
জাদুকরি,জাদুকরী
জাদুঘর,যাদুঘর
জানমাল,জান-মাল
জানাজা,যানাজা
জানুয়ারি,জানুয়ারী
জান্নাতবাসী,জান্নাতবাসি
জাপানি,জাপানী
জাফরানি,জাফরানী
জাফরি,জাফরী
জাবেদা,যাবেদা
জামদানি,জামদানী
জামরুল,জামরূল
জামাইষষ্ঠী,জামাইষষ্টী
জামাকাপড়,জামা কাপড়
জামাদিয়াল-আউয়াল,জামাদিয়াল আউয়াল
জামাদিয়াস-সানি,জামাদিয়াস সানি
জামানত,জামানাত
জামিন,জামীন
জামিন-অযোগ্য,জামিন অযোগ্য
জামিনদার,জামিন দার
জামিননামা,জামিন নামা
জামিনযোগ্য,জামিন যোগ্য
জাম্বুরা,জামবুরা
জায়গাজমি,জায়গা জমি
জায়গির,জায়গীর
জায়গিরদার,জায়গীরদার
জায়গিরদারি,জায়গীরদারী
জায়নামাজ,জায়নামায
জায়ফল,জায় ফল
জায়েজ,জায়েয
জারি,জারী
জারিকৃত,জারীকৃত
জারিগান,জারীগান
জার্নাল,জার্ণাল
জার্মানি,জার্মানী
জার্সি,জারসি
জালিয়াতি,জালিয়াতী
জাহাজি,জাহাজী
জাহেলিয়াত,জাহেলিয়াৎ
জিঘাংসা,জীঘাংসা
জিজিয়া,জিজীয়া
জিজ্ঞাসাবাদ,জিজ্ঞাসা বাদ
জিন,জীন
জিনস,জিন্‌স
জিনিয়া,জিনীয়া
জিনিস,জিনিশ
জিনিসপত্র,জিনিস পত্র
জিন্দাবাদ,জীন্দাবাদ
জিপ,জীপ
জিপিএস,জি পি এস
জিবরাইল,জিব্রাইল
জিভ,জীভ
জিমনাস্টিক,জিমন্যাস্টিক
জিমনেশিয়াম,জিমনেসিয়াম
জিম্মাদারি,জিম্মাদারী
জিয়ারত,যিয়ারত
জিরা,জীরা
জিরাফ,জীরাফ
জিলাপি,জিলাপী
জিহাদ,যিহাদ
জিহ্বা,জীহ্বা
জীবজন্তু,জীব জন্তু
জীবদ্দশা,জীবদ্যশা
জীবনবিমা,জীবনবীমা
জীবনবৃত্তান্ত,জীবন-বৃত্তান্ত
জীবনযাপন,জীবন-যাপন
জীবনী,জীবনি
জীবনীকার,জীবনিকার
জীবন্মৃত,জীবনমৃত
জীববিজ্ঞান,জীব বিজ্ঞান
জীববিদ্যা,জীব বিদ্যা
জীববৈচিত্র্য,জীব বৈচিত্র্য
জীবাণু,জীবানু
জীবাশ্ম,জীবাষ্ম
জীবিকা,জীবীকা
জীবিকানির্বাহ,জীবিকা-নির্বাহ
-জীবী,-জীবি
জীর্ণ,জীর্ন
জীর্ণদশা,জীর্ণ-দশা
জুুঁই,জুই
জুড়ি (সমকক্ষ),জুরি
জুতসই,জুৎসই
জুমচাষ,জুম-চাষ
জুমা,যুমা
জুম্মাতুলবিদা,জুম্মাতুল বিদা
জুয়াড়ি,জুয়ারি
জুস,জুশ
জেট ইঞ্জিন,জেটইঞ্জিন
জেনারেল,জেণারেল
জেনারেশন,জেনারেশণ
জেনেশুনে,জেনে-শুনে
জেব্রা,জেবরা
জেব্রা ক্রসিং,জেব্রাক্রসিং
জেয়াফত,জেয়াপত
জেয়ারত,জেয়ারৎ
জেলখানা,জেল খানা
জেলা,জিলা
জেলাপরিষদ,জেলা-পরিষদ
জেলাপ্রশাসক,জেলা প্রশাসক
জেলাশহর,জেলা শহর
জেলাশাসক,জেলা শাসক
জেলি,জেলী
জেলেনৌকা,জেলে নৌকা
জেহাদি,জেহাদী
জৈব,জৌব
জৈবসার,জৈব-সার
জোঁক,জোক
জো,যো
জোকার,জোঁকার
জোগাড়,জোগার
জোগানো,যোগানো
জোটনিরপেক্ষ,জোট নিরপেক্ষ
জোড় (জোড়া),জোর
জোড়কলম,জোড় কলম
জোড়সংখ্যা,জোড়-সংখ্যা
জোড়াতালি,জোরাতালি
জোতদারি,জোতদারী
জোনাকি,জোনাকী
জোয়ান,যোয়ান
জোয়ারভাটা,জোয়ার ভাটা
জোর (শক্তি),জোড়
জোরজবরদস্তি,জোর জবরদস্তি
জোরজুলুম,জোর জুলুম
জোরাজুরি,জোড়াজুড়ি
জৌলুস,জৌলুশ
জ্ঞাতিগােষ্ঠী,জ্ঞাতিগােষ্ঠি
জ্ঞাতিভাই,জ্ঞাতীভাই
জ্ঞানভান্ডার,জ্ঞানভাণ্ডার
জ্ঞানী,জ্ঞানি
জ্বর,জ্বড়
জ্বরঠােসা,জ্বর ঠােসা
জ্বলজ্বল,জ্বল জ্বল
জ্বলন্ত,জলন্ত
জ্বালা,জালা
জ্বালাতন,জালাতন
জ্বালানি,জ্বালানী
জ্বালানাে (ক্রিবি.),জ্বালান
জ্বালাময়ী,জ্বালাময়ি
জ্বালামুখ,জ্বালা মুখ
জ্যাকেট,জেকেট
জ্যামিতি,জ্যামিতী
জ্যেষ্ঠ,জেষ্ঠ্য
জ্যেষ্ঠতা,জেষ্ঠ্যতা
জ্যৈষ্ঠ,জৈষ্ঠ্য
জ্যোতির্বিজ্ঞান,জ্যোতিঃর্বিজ্ঞান
জ্যোতির্বিদ্যা,জ্যোতিঃবিদ্যা
জ্যোতির্ময়,জ্যোতিঃময়
জ্যোতিষশাস্ত্র,জ্যোতিষ-শাস্ত্র
জ্যোতিষী,জ্যোতিষি
জ্যোতিষ্ক,জ্যোতিস্ক
জ্যোৎস্না,জোৎস্না
ঝংকার,ঝঙ্কার
ঝকঝক,ঝক্‌ঝক্‌
ঝগড়াঝাঁটি,ঝগড়াঝাটি
ঝঞ্ঝা,ঝঞ্জা
ঝঞ্ঝাট,ঝঞ্জাট
ঝটিকাসফর,ঝটিকা-সফর
ঝড়তুফান,ঝড় তুফান
ঝড়বাদল,ঝড় বাদল
ঝড়বৃষ্টি,ঝড় বৃষ্টি
ঝরনা,ঝর্ণা
ঝাউবীথি,ঝাউবিথী
ঝাঁক,ঝাক
ঝাঁকড়া,ঝাকরা
ঝাঁকানি,ঝাকানি
ঝাঁজ/ঝাঁঝ,ঝাজ/ঝাঝ
ঝাঁঝরা/ঝাঁজরা,ঝাঝরা/ঝাজরা
ঝাঁটা,ঝাটা
ঝাঁপি,ঝাঁপী
ঝাড় (গুচ্ছ),ঝার
ঝাড়ফুুঁক,ঝাড়ফুক
ঝাড়লন্ঠন,ঝাড়লণ্ঠন
ঝাড়াইবাছাই,ঝাড়াই বাছাই
ঝাড়ুদার,ঝাড়ু দার
ঝাপটা,ঝাপ্টা
ঝান্ডা,ঝাণ্ডা
ঝিঁঝি,ঝিঁঝিঁ
ঝিঙা,ঝিঙ্গা
ঝিনুক,ঝিণুক
ঝিল্লি,ঝিল্লী
ঝিল্লিমুখর,ঝিল্লী মুখর
ঝুঁকি,ঝুকি
ঝুঁটি,ঝুটি
ঝুড়ি,ঝুরি
ঝুপড়ি,ঝুপরি
ঝুমকোলতা,ঝুমকো-লতা
ঝুমুর,ঝুমূর
ঝুলবারান্দা,ঝুল-বারান্দা
ঝোঁক,ঝোক
ঝোড়ো,ঝড়াে
ঝােপ,ঝোঁপ
ঝােপঝাড়,ঝোঁপঝাড়
টং,টঙ
টঙ্ক,টংক
টন,টণ
টনিক,টনীক
টনসিল,টনশিল
ট-বর্গ,ট বর্গ
টম্যাটো,টমেটো
টয়লেট,টএলেট
টর্চ,টর্‌চ
টর্নেডো,টর্ণেডো
টর্পেডো,টর্পেড
টহলদারি,টহলদারী
টাইপরাইটার,টাইপ রাইটার
টাইপিস্ট,টাইপিষ্ট
টাইফয়েড,টাইফেড
টাইফুন,টাইফুণ
টাইব্রেকার,টাই ব্রেকার
টাইমকিপার,টাইম কীপার
টাইমটেবল,টাইম টেবল
টাইল্‌স,টাইলস
টাঁকশাল,টাকশাল
টাক,টাঁক
টাকওয়ালা,টাকঅলা
টাকাপয়সা,টাকা-পয়সা
টাঙানাে,টাঙ্গানাে
টাটি,টাটী
টানানো,টানান
টানাপোড়েন,টানাপড়েন
টারবাইন,টারবাইণ
টালবাহানা,টালবাহাণা
টালি,টালী
টিউবয়েল,টীউবয়েল
টিউবেকটমি,টিউবেকটমী
টিউমার,টীউমার
টিউশনি,টিউশানি
টিকলি,টীকলী
টিকা (প্রতিষেধক),টীকা
টিকিট,টিকেট
টিপবোতাম,টিপ বোতাম
টিপসই,টীপ সই
টিপ্পনী,টিপ্পনি
টিফিন,টিফিণ
টিয়া,টীয়া
টিয়ার গ্যাস,টীয়ার গ্যাস
টিসু,টিশ্যু
টীকা (ব্যাখ্যা),টিকা
টুইটার,টূইটার
টুঁটি,টুটি
টুকটাক,টুকতাক
টুকরা,টুকরা
টুকরি,টুকড়ি
টুকিটাকি,টুকিটাকী
টুথব্রাশ,টুথব্রাস
টুনটুনি,টুনটুনী
টুপি,টুপী
টুরিস্ট,ট্যুরিষ্ট
টেংরি,টেঙরি
টেকনিক্যাল,টেকনিকেল
টেকনিশিয়ান,টেকনিসিয়ান
টেকসই,টেকশই
টেনশন,টেনসন
টেনিস,টেনীস
টেন্ডার,টেণ্ডার
টেবিলক্লথ,টেবিল ক্লথ
টেম্পো,টেম্পু
টেরাকোটা,ট্যারাকোটা
টেলিগ্রাফ,টেলীগ্রাফ
টেলিগ্রাম,টেলি গ্রাম
টেলিপ্যাথি,টেলিপ্যাথী
টেলিপ্রিন্টার,টেলিপ্রিণ্টার
টেলিফোন,টেলিফোণ
টেলিভিশন,টেলিভীশণ
টেলিভিশনকেন্দ্র,টেলিভিশন কেন্দ্র
টেলিস্কােপ,টেলীস্কােপ
টেস্টম্যাচ,টেষ্ট ম্যাচ
টোকাটুকি,টুকাটুকি
টোটকা,টোট্‌কা
টোপর,টোপাের
টোপাজ,টোপায
টোস্ট,টোষ্ট
ট্যাংক,ট্যাঙ্ক
ট্যাংরা,টেংরা
ট্যাঁক,ট্যাক
ট্যাক্স,ট্যাকস
ট্যাক্সি,টেক্সি
ট্যাটা,ট্যাঁটা
ট্যানারি,টেনারি
ট্যাবলয়েড,টেবলয়েড
ট্যাবলেট,টেবলেট
ট্যারা,টেরা
ট্যালকম,ট্যালকম্
ট্রফি,ট্রফী
ট্রলার,ট্রয়লার
ট্রলি,ট্রলী
ট্রাইব্যুনাল,ট্রাইবুনাল
ট্রাংক,ট্রাঙ্ক
ট্রাক,ট্র্যাক
ট্রাম,ট্রাম্
ট্রায়াল,ট্র্যায়াল
ট্রাস্ট,ট্রাষ্ট
ট্রাস্টি,ট্রাষ্টি
ট্রিগার,ট্রীগার
ট্রে,টেরে
ট্রেজারি,ট্রেজারী
ট্রেঞ্চ,ট্রেন্চ
ট্রেডমার্ক,ট্রেড মার্ক
ট্রেন,ট্রেণ
ট্র্যাক্টর,ট্রাকটর
ট্র‍্যাজিক,ট্রাজিক
ট্র্যাজেডি,ট্র্যাজেডী
ট্র্যাডিশন,ট্রাডিশন
ট্র্যান্সফরমার,ট্রান্সফরমার
ট্র‍্যাফিক,ট্রাফিক
ঠ,ঠ
ঠক (প্রতারক),ঠক্
ঠাওর/ঠাহর,ঠাউর
ঠাঁই,ঠাই
ঠাট,ঠাঁট
ঠান্ডা,ঠাণ্ডা
ঠিকমতো,ঠিকমত
ঠিকাদারি,ঠিকাদারী
ঠিকুজি,ঠিকুজী
ঠুংরি/ঠুমরি,ঠুঙরি
ঠুঁটো,ঠুটো
ঠুনকো,ঠুণকো
ঠুলি,ঠুলী
ঠেলাঠেলি,ঠ্যালাঠেলি
ঠেসাঠেসি,ঠ্যাসাঠেসি
ঠোঁট,ঠোট
ঠোকরানো,ঠোকরান
ঠোঙা,ঠোঙ্গা
ঠ্যাং,ঠ্যাঙ
ঠ্যাঁটা,ঠেটা
ঠ্যাকা,ঠেকা
ঠ্যাঙানি,ঠ্যাঙ্গানি
ঠ্যাঙানাে,ঠ্যাঙ্গান
ঠ্যালাগাড়ি,ঠেলাগাড়ী
ডক,ডক্
ডক্টর,ডকটর
ডঙ্কা,ডংকা
ডজনখানেক,ডজন খানেক
ডনবৈঠক,ডন বৈঠক
ডবল ডেকার,ডবলডেকার
ডবল প্রোমোশন,ডবল প্রমোশন
ডবল ব্যারেল,ডবলব্যারেল
ডমিসাইল,ডমিশাইল
ডরমিটরি,ডরমেটরি
ডলফিন,ডলফিণ
ডাইনামাইট,ডায়নামাইট
ডাইনি,ডাইনী
ডাইনোসর,ডাইনোসোর
ডাঁই,ডাই
ডাঁটা (সরু কাণ্ড),ডাটা
ডাঁশ,ডাশ
ডাঁসা,ডাঁশা
ডাকগাড়ি,ডাকগাড়ী
ডাকঘর,ডাক ঘর
ডাকটিকিট,ডাকটিকেট
ডাকনাম,ডাক নাম
ডাকপিওন,ডাকপিয়ন
ডাকবাংলা,ডাক বাংলা
ডাকবাংলো,ডাক বাংলো
ডাকবাক্স,ডাক বাকসো
ডাকবিভাগ,ডাক বিভাগ
ডাকমাশুল,ডাকমাসুল
ডাকসাইটে,ডাক সাইটে
ডাকহরকরা,ডাক হরকরা
ডাকাতি,ডাকাতী
ডাকিনী,ডাকিনি
ডাকিনীবিদ্যা,ডাকিনী বিদ্যা
ডাক্তারখানা,ডাক্তার খানা
ডাক্তারি,ডাক্তারী
ডাঙর,ডাঙ্গর
ডাঙা,ডাঙ্গা
ডানপন্থি,ডানপন্থী
ডান্ডা,ডাণ্ডা
ডান্ডাগুলি,ডাণ্ডাগুলি
ডান্ডাবাজি,ডাণ্ডাবাজী
ডান্ডাবেড়ি,ডাণ্ডাবেড়ী
ডাব,ডাব্
ডাবর,ডাবড়
ডাম্বেল,ডামবেল
ডায়নামো,ডায়ণামো
ডায়মন্ড,ডায়মণ্ড
ডায়াবিটিস,ডায়াবেটিস
ডায়ারি,ডায়ারী
ডায়ারিভুক্ত,ডায়ারি ভুক্ত
ডালনা,ডালণা
ডালপালা,ডাল-পালা
ডালপুরি,ডালপুরী
ডালভাত,ডাল-ভাত
ডালমুট,ডালমুঠ
ডালি,ডালী
ডালিম,ডালীম
ডালিয়া,ডালীয়া
ডাস্টবিন,ডাষ্টবিন
ডাস্টার,ডাষ্টার
ডাহুক,ডাহূক
ডিএনএ,ডি এন এ
ডিকটেশন,ডিক্টেশন
ডিকশনারি,ডিকশনারী
ডিক্রি,ডিক্রী
ডিগ্রি,ডিগ্রী
ডিগ্রিধারী,ডিগ্রিধারি
ডিঙা,ডিঙ্গা
ডিঙানো,ডিঙ্গানাে
ডিঙি,ডিঙ্গি
ডিজাইন,ডিজাইণ
ডিজিট,ডিজীট
ডিজিটাল,ডিজীটাল
ডিজেল,ডীজেল
ডিটেকটিভ,ডিটেক্টিভ
ডিন,ডীন
ডিনার,ডিণার
ডিপাে,ডীপাে
ডিপোজিট,ডিপজিট
ডিপ্লোমা,ডিপলোমা
ডিফথেরিয়া,ডিপথেরিয়া
ডিবেঞ্চার,ডিবেন্চার
ডিভান,ডিভাণ
ডিভিডেন্ড,ডিভিডেন্ট
ডিভিশন,ডিভিশান
ডিমওয়ালা,ডিমঅলা
ডিমাই,ডীমাই
ডিম্বকোষ,ডিম্ব কোষ
ডিম্বাণু,ডিম্বানু
ডিম্বাশয়,ডিম্বাসয়
ডিশ,ডিস
ডিশ অ্যান্টেনা,ডিশ ‌এন্টেনা
ডিসকাউন্ট,ডিসকাউণ্ট
ডিসকাে,ডিস্কাে
ডিসচার্জ,ডিসচার্‌জ
ডিসটেম্পার,ডিসটেমপার
ডিসপেনসারি,ডিসপেন্সারি
ডিসপেপসিয়া,ডিসপেপ্‌সিয়া
ডিসমিস,ডিস্‌মিস
ডিসেম্বর,ডিসেম্বার
ডিস্টিল্‌ড,ডিস্টিলড
ডিস্ট্রিক্ট,ডিসট্রিক্ট
ডিস্ট্রিক্ট বোর্ড,ডিস্ট্রিক্টবোর্ড
ডিহি,ডিহী
ডুগডুগি,ডুগডুগী
ডুবসাঁতার,ডুব সাঁতার
ডুবুডুবু,ডুবু ডুবু
ডুবুরি,ডুবুরী
ডুবোজাহাজ,ডুবজাহাজ
ডুমুর,ডুমুড়
ডেইজি,ডেইজী
ডেইলি প্যাসেঞ্জার,ডেইলি প্যাসেন্জার
ডেউয়া,ডেউআ
ডেকচি,ডেকচী
ডেকোরেটার,ডেকোরেটর
ডেঙ্গু,ডেংগু
ডেনটিস্ট,ডেন্টিস্ট
ডেপুটি,ডেপুটী
ডেবিট কার্ড,ডেবিটকার্ড
ডেমারেজ,ড্যামারেজ
ডেমোক্রেসি,ডেমোক্র্যাসি
ডেমোক্র্যাট,ডেমোক্রেট
ডেরা,ড্যারা
ডেরা,ডেড়া
ডেসিবেল,ড্যাসিবেল
ডেস্ক্,ডেস্ক
ডেস্ট্রয়ার,ডেষ্ট্রয়ার
ডেসপ্যাচ,ডেসপাস
ড্যাম,ডেম
ড্যাশ,ড্যাস
ড্রপসিন,ড্রপ সীন
ড্রপার,ড্রােপার
ড্রয়ার,ড্রয়্যার
ড্রয়িং (আঁকা),ড্রইং
ড্রয়িংরুম,ড্রইং রুম
ড্রাইভার,ড্রাইবার
ড্রাগ,ড্র্যাগ
ড্রাগন,ড্রাগণ
ড্রাফ্‌ট,ড্রাফট
ড্রাফ্‌টসম্যান,ড্রাফটমেন
ড্রাম,ড্র্যাম
ড্রামা,ড্র্যামা
ড্রিল,ড্রীল
ড্রেজার,ড্র‍্যাজার
ড্রেন,ড্রেণ
ড্রােন,ড্রােণ
ঢং,ঢঙ
ঢংঢং,ঢং ঢং
ঢকঢক,ঢক ঢক
ঢাকনি,ঢাকনী
ঢাকাই,ঢাকাঈ
ঢালাইকর,ঢালাই-কর
ঢালি,ঢালী
ঢালু,ঢালূ
ঢিবি,ঢিবী
ঢিলামি,ঢিলামী
ঢুলি,ঢুলী
ঢেউখেলানো,ঢেউ খেলানো
ঢেউটিন,ঢেউ টিন
ঢেউতোলা,ঢেউ তোলা
ঢেঁকি,ঢেকি
ঢেঁকিছাঁটা,ঢেঁকি ছাঁটা
ঢেঁকিশাক,ঢেঁকি-শাক
ঢেঁকিশাল,ঢেঁকি শাল
ঢেকুর,ঢেঁকুর
ঢোঁড়া,ঢোড়া
ঢোক,ঢোঁক
ঢোলকলমি,ঢোলকলমী
ঢ্যাঁড়শ,ঢেঁড়স
ঢ্যাঁড়া,ঢ্যাড়া
ঢ্যাঙা,ঢ্যাঙ্গা
ঢ্যালা,ঢেলা
ণত্ববিধান,ণ-ত্ব বিধান
তওফিক,তওফীক
তওবা,তওবাহ
তওয়াফ,তওয়াফ্‌
তওরাত,তওরাৎ
তওহিদ,তাওহীদ
তকদির,তকদীর
তকবির,তকবীর
তকমা,তক্‌মা
তকলিফ,তক্‌লিফ
তক্তপোশ,তক্তপোষ
তক্ষক,তখ্যক
তক্ষশিলা,তক্ষশীলা
তক্ষুনি,তক্ষুণি
তখ্‌তে-তাউস,তখ্‌তে তাউস
তখনই,তখনি
তখনকার,তখন কার
তছনছ,তছণছ
তছরুপ,তসরুপ
তজ্জনিত,তৎজনিত
তটস্থ,তটঃস্থ
তড়িঘড়ি,তরিঘড়ি
তড়িচ্চুম্বক,তড়িৎচুম্বক
তড়িৎ,তড়িত
তড়িৎশিখা,তড়িতশিখা
তত,ততাে
ততক্ষণ,ততােক্ষণ
ততোধিক,ততধিক
তৎকালীন,তৎকালিন
তৎকালােচিত,তৎকালচিত
তৎক্ষণাৎ,তৎক্ষণাত
তৎপর,ততপর
তৎপূর্বে,তৎ পূর্বে
